year,metric,n1,n2,n3,n4,n5

2017,ILAL,NaN,NaN,NaN,NaN,NaN
2017,CSTR,NaN,NaN,NaN,NaN,NaN
2017,INTC,NaN,NaN,NaN,NaN,NaN
2017,FACT,NaN,NaN,NaN,NaN,NaN
2017,FUND,NaN,NaN,NaN,NaN,NaN
2017,CURR,NaN,NaN,NaN,NaN,NaN
2017,APPL,NaN,NaN,NaN,NaN,NaN
2017,PROF,NaN,NaN,NaN,NaN,NaN
2017,TECH,NaN,NaN,NaN,NaN,NaN
2017,ASS1,NaN,NaN,NaN,NaN,NaN
2017,ASS2,NaN,NaN,NaN,NaN,NaN
2017,ASS3,NaN,NaN,NaN,NaN,NaN
2017,ASS4,NaN,NaN,NaN,NaN,NaN
2017,WORK,NaN,NaN,NaN,NaN,NaN
2017,LEVL,NaN,NaN,NaN,NaN,NaN

2018,ILAL,NaN,NaN,NaN,NaN,NaN
2018,CSTR,NaN,NaN,NaN,NaN,NaN
2018,INTC,NaN,NaN,NaN,NaN,NaN
2018,FACT,NaN,NaN,NaN,NaN,NaN
2018,FUND,NaN,NaN,NaN,NaN,NaN
2018,CURR,NaN,NaN,NaN,NaN,NaN
2018,APPL,NaN,NaN,NaN,NaN,NaN
2018,PROF,NaN,NaN,NaN,NaN,NaN
2018,TECH,NaN,NaN,NaN,NaN,NaN
2018,ASS1,NaN,NaN,NaN,NaN,NaN
2018,ASS2,NaN,NaN,NaN,NaN,NaN
2018,ASS3,NaN,NaN,NaN,NaN,NaN
2018,ASS4,NaN,NaN,NaN,NaN,NaN
2018,WORK,NaN,NaN,NaN,NaN,NaN
2018,LEVL,NaN,NaN,NaN,NaN,NaN

2019,ILAL,NaN,NaN,NaN,NaN,NaN
2019,CSTR,NaN,NaN,NaN,NaN,NaN
2019,INTC,NaN,NaN,NaN,NaN,NaN
2019,FACT,NaN,NaN,NaN,NaN,NaN
2019,FUND,NaN,NaN,NaN,NaN,NaN
2019,CURR,NaN,NaN,NaN,NaN,NaN
2019,APPL,NaN,NaN,NaN,NaN,NaN
2019,PROF,NaN,NaN,NaN,NaN,NaN
2019,TECH,NaN,NaN,NaN,NaN,NaN
2019,ASS1,NaN,NaN,NaN,NaN,NaN
2019,ASS2,NaN,NaN,NaN,NaN,NaN
2019,ASS3,NaN,NaN,NaN,NaN,NaN
2019,ASS4,NaN,NaN,NaN,NaN,NaN
2019,WORK,NaN,NaN,NaN,NaN,NaN
2019,LEVL,NaN,NaN,NaN,NaN,NaN

2020,ILAL,0,0,0,5,3
2020,CSTR,0,0,0,5,3
2020,INTC,0,0,0,2,6
2020,FACT,NaN,NaN,NaN,NaN,NaN
2020,FUND,NaN,NaN,NaN,NaN,NaN
2020,CURR,NaN,NaN,NaN,NaN,NaN
2020,APPL,NaN,NaN,NaN,NaN,NaN
2020,PROF,NaN,NaN,NaN,NaN,NaN
2020,TECH,NaN,NaN,NaN,NaN,NaN
2020,ASS1,NaN,NaN,NaN,NaN,NaN
2020,ASS2,NaN,NaN,NaN,NaN,NaN
2020,ASS3,NaN,NaN,NaN,NaN,NaN
2020,ASS4,NaN,NaN,NaN,NaN,NaN
2020,WORK,0,0,4,2,2
2020,LEVL,0,0,4,2,1

2021,ILAL,0,0,0,1,2
2021,CSTR,0,0,1,0,2
2021,INTC,0,0,0,1,2
2021,FACT,0,0,0,1,2
2021,FUND,0,0,0,2,1
2021,CURR,0,0,0,1,1
2021,APPL,0,0,0,0,3
2021,PROF,0,0,0,0,3
2021,TECH,0,0,0,1,2
2021,ASS1,0,0,0,0,3
2021,ASS2,0,0,0,0,3
2021,ASS3,0,1,0,0,2
2021,ASS4,0,0,1,0,1
2021,WORK,0,0,1,2,0
2021,LEVL,0,0,3,0,0

2022,ILAL,NaN,NaN,NaN,NaN,NaN
2022,CSTR,NaN,NaN,NaN,NaN,NaN
2022,INTC,NaN,NaN,NaN,NaN,NaN
2022,FACT,NaN,NaN,NaN,NaN,NaN
2022,FUND,NaN,NaN,NaN,NaN,NaN
2022,CURR,NaN,NaN,NaN,NaN,NaN
2022,APPL,NaN,NaN,NaN,NaN,NaN
2022,PROF,NaN,NaN,NaN,NaN,NaN
2022,TECH,NaN,NaN,NaN,NaN,NaN
2022,ASS1,NaN,NaN,NaN,NaN,NaN
2022,ASS2,NaN,NaN,NaN,NaN,NaN
2022,ASS3,NaN,NaN,NaN,NaN,NaN
2022,ASS4,NaN,NaN,NaN,NaN,NaN
2022,WORK,NaN,NaN,NaN,NaN,NaN
2022,LEVL,NaN,NaN,NaN,NaN,NaN

2023,ILAL,0,0,1,8,5
2023,CSTR,0,1,2,6,5
2023,INTC,0,0,2,3,7
2023,FACT,0,0,0,8,3
2023,FUND,0,0,2,8,4
2023,CURR,0,2,5,4,4
2023,APPL,0,0,0,4,9
2023,PROF,0,0,2,7,6
2023,TECH,0,0,1,9,2
2023,ASS1,0,1,1,5,7
2023,ASS2,0,0,1,4,7
2023,ASS3,1,0,1,10,2
2023,ASS4,0,1,0,5,6
2023,WORK,0,0,4,4,4
2023,LEVL,0,1,3,6,4
